Id,weekly_Sales
1_1_2012-11-02,34238.88
1_1_2012-11-09,18689.54
1_1_2012-11-16,19549.39
1_1_2012-11-23,20837.83
1_1_2012-11-30,17942.15
1_1_2012-12-07,33305.92
1_1_2012-12-14,31497.65
1_1_2012-12-21,45773.03
1_1_2012-12-28,16216.84
1_1_2013-01-04,16894.4
1_1_2013-01-11,16894.4
1_1_2013-01-18,17341.47
1_1_2013-01-25,18365.1
1_1_2013-02-01,23397.02
1_1_2013-02-08,32097.0
1_1_2013-02-15,41247.02
1_1_2013-02-22,20124.22
1_1_2013-03-01,20124.22
1_1_2013-03-08,21140.07
1_1_2013-03-15,22366.88
1_1_2013-03-22,22366.88
1_1_2013-03-29,27914.12
1_1_2013-04-05,33221.13
1_1_2013-04-12,22366.88
1_1_2013-04-19,17849.52
1_1_2013-04-26,16347.6
1_1_2013-05-03,29819.93
1_1_2013-05-10,29819.93
1_1_2013-05-17,29606.6
1_1_2013-05-24,28423.52
1_1_2013-05-31,28423.52
1_1_2013-06-07,28806.8
1_1_2013-06-14,28423.52
1_1_2013-06-21,28160.76
1_1_2013-06-28,28806.8
1_1_2013-07-05,28160.76
1_1_2013-07-12,28160.76
1_1_2013-07-19,28705.5
1_1_2013-07-26,27670.98
1_2_2012-11-02,47344.5
1_2_2012-11-09,48577.08
1_2_2012-11-16,43997.78
1_2_2012-11-23,44259.59
1_2_2012-11-30,36066.65
1_2_2012-12-07,49357.43
1_2_2012-12-14,48880.26
1_2_2012-12-21,52487.06
1_2_2012-12-28,34323.78
1_2_2013-01-04,41596.99
1_2_2013-01-11,43353.09
1_2_2013-01-18,41596.99
1_2_2013-01-25,41556.23
1_2_2013-02-01,46549.73
1_2_2013-02-08,49424.06
1_2_2013-02-15,46085.47
1_2_2013-02-22,46085.47
1_2_2013-03-01,46729.91
1_2_2013-03-08,45330.95
1_2_2013-03-15,44411.95
1_2_2013-03-22,45817.07
1_2_2013-03-29,44293.54
1_2_2013-04-05,48397.98
1_2_2013-04-12,43991.18
1_2_2013-04-19,44411.23
1_2_2013-04-26,43134.88
1_2_2013-05-03,99771.88
1_2_2013-05-10,99771.88
1_2_2013-05-17,99771.88
1_2_2013-05-24,99771.88
1_2_2013-05-31,99771.88
1_2_2013-06-07,99771.88
1_2_2013-06-14,99771.88
1_2_2013-06-21,99771.88
1_2_2013-06-28,99771.88
1_2_2013-07-05,99771.88
1_2_2013-07-12,99771.88
1_2_2013-07-19,100073.71
1_2_2013-07-26,99771.88
1_3_2012-11-02,9959.64
1_3_2012-11-09,10104.36
1_3_2012-11-16,9959.64
1_3_2012-11-23,9317.56
1_3_2012-11-30,7853.63
1_3_2012-12-07,11986.88
1_3_2012-12-14,10558.97
1_3_2012-12-21,12434.09
1_3_2012-12-28,7853.63
1_3_2013-01-04,11535.44
1_3_2013-01-11,11724.98
1_3_2013-01-18,11702.08
1_3_2013-01-25,11702.08
1_3_2013-02-01,11387.31
1_3_2013-02-08,11387.31
1_3_2013-02-15,10487.17
1_3_2013-02-22,10502.4
1_3_2013-03-01,10502.4
1_3_2013-03-08,10420.92
1_3_2013-03-15,8734.19
1_3_2013-03-22,9049.02
1_3_2013-03-29,8868.93
1_3_2013-04-05,8734.19
1_3_2013-04-12,8424.69
1_3_2013-04-19,8106.32
1_3_2013-04-26,7692.61
1_3_2013-05-03,22353.74
1_3_2013-05-10,22244.46
1_3_2013-05-17,20806.43
1_3_2013-05-24,13445.22
1_3_2013-05-31,20156.8
1_3_2013-06-07,20042.76
1_3_2013-06-14,19625.44
1_3_2013-06-21,19413.13
1_3_2013-06-28,19413.13
1_3_2013-07-05,19150.56
1_3_2013-07-12,50266.03
1_3_2013-07-19,61621.65
1_3_2013-07-26,50266.03
1_4_2012-11-02,39311.93
1_4_2012-11-09,39305.13
1_4_2012-11-16,36894.54
1_4_2012-11-23,39597.19
1_4_2012-11-30,36791.05
1_4_2012-12-07,38729.31
1_4_2012-12-14,38266.47
1_4_2012-12-21,46201.27
1_4_2012-12-28,37371.22
1_4_2013-01-04,38934.77
1_4_2013-01-11,36582.36
1_4_2013-01-18,36292.6
1_4_2013-01-25,34647.33
1_4_2013-02-01,39311.93
1_4_2013-02-08,39311.93
1_4_2013-02-15,36550.46
1_4_2013-02-22,35549.19
1_4_2013-03-01,38934.77
1_4_2013-03-08,39305.13
1_4_2013-03-15,37718.51
1_4_2013-03-22,37718.51
1_4_2013-03-29,36550.46
1_4_2013-04-05,39305.13
1_4_2013-04-12,36292.6
1_4_2013-04-19,35549.19
1_4_2013-04-26,35549.19
1_4_2013-05-03,54500.33
1_4_2013-05-10,54102.43
1_4_2013-05-17,53436.74
1_4_2013-05-24,52377.67
1_4_2013-05-31,52377.67
1_4_2013-06-07,54395.37
1_4_2013-06-14,53254.97
1_4_2013-06-21,53852.69
1_4_2013-06-28,52377.67
1_4_2013-07-05,53852.69
1_4_2013-07-12,53254.97
1_4_2013-07-19,54777.21
1_4_2013-07-26,52868.23
1_5_2012-11-02,27339.37
1_5_2012-11-09,28386.81
1_5_2012-11-16,25798.78
1_5_2012-11-23,64143.74
1_5_2012-11-30,53704.99
1_5_2012-12-07,36572.71
1_5_2012-12-14,36870.29
1_5_2012-12-21,57313.05
1_5_2012-12-28,38756.69
1_5_2013-01-04,21376.42
1_5_2013-01-11,19298.42
1_5_2013-01-18,19298.42
1_5_2013-01-25,21376.42
1_5_2013-02-01,29455.7
1_5_2013-02-08,30642.53
1_5_2013-02-15,30797.88
